cohort	sex	region	highest edu	receiving e	time	TABCELL	age
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2009	13	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2008	16	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2007	28	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2006	31	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2017	297	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2016	313	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2015	245	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2014	231	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2013	206	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2012	198	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2011	187	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2010	234	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2009	274	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2008	314	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2007	272	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2006	219	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2017	15	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2016	18	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2015	16	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2014	16	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2013	21	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2012	19	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2011	15	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2010	12	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2009	12	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2008	12	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2007	7	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2006	15	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2017	149	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2016	156	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2015	146	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2014	116	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2013	120	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2012	135	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2011	133	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2010	101	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2009	126	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2008	124	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2007	143	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2006	141	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2017	383	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2016	415	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2015	416	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2014	358	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2013	299	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2012	290	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2011	217	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2010	258	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2009	230	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2008	268	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2007	306	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2006	317	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2017	57	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2016	70	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2015	79	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2014	69	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2013	66	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2012	56	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2011	42	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2010	47	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2009	50	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2008	53	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2007	62	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2006	67	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2017	1	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2016	6	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2015	7	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2014	3	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2013	4	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2012	2	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2011	4	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2010	9	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2009	14	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2008	11	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2007	23	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H70 Masters programmes	2006	34	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2017	0	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2016	0	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2015	0	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2014	0	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2013	0	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2012	0	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2011	0	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2010	1	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2009	3	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2008	1	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2007	2	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H80 PhD programmes	2006	1	29
1987	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2017	9486	29
1986	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2016	9618	29
1985	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2015	9678	29
1984	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2014	9417	29
1983	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2013	9517	29
1982	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2012	10162	29
1981	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2011	9906	29
1980	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2010	11105	29
1979	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2009	11409	29
1978	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2008	12081	29
1977	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2007	12235	29
1976	Men	All Denmark	H30 Vocational Education and Training (VET)	H90 Not stated	2006	13089	29
1987	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2017	0	29
1986	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2016	0	29
1985	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2015	0	29
1984	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2014	0	29
1983	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2013	0	29
1982	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2012	0	29
1981	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2011	0	29
1980	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2010	0	29
1979	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2009	0	29
1978	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2008	0	29
1977	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2007	0	29
1976	Men	All Denmark	H35 Qualifying educational programmes	H10 Primary education	2006	0	29
1987	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2017	0	29
1986	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2016	0	29
1985	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2015	0	29
1984	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2014	0	29
1983	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2013	0	29
1982	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2012	0	29
1981	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2011	0	29
1980	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2010	0	29
1979	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2009	0	29
1978	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2008	0	29
1977	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2007	0	29
1976	Men	All Denmark	H35 Qualifying educational programmes	H15 Preparatory courses	2006	0	29
1987	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2017	0	29
1986	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2016	0	29
1985	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2015	0	29
1984	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2014	0	29
1983	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2013	0	29
1982	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2012	0	29
1981	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2011	0	29
1980	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2010	1	29
1979	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2009	0	29
1978	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2008	0	29
1977	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2007	0	29
1976	Men	All Denmark	H35 Qualifying educational programmes	H20 Upper secondary education	2006	0	29
1987	Men	All Denmark	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2017	0	29
1986	Men	All Denmark	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2016	1	29
1985	Men	All Denmark	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2015	1	29
1984	Men	All Denmark	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2014	2	29
1983	Men	All Denmark	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2013	1	29
1982	Men	All Denmark	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2012	0	29
